"","scan_date","first_seen","last_seen","total","size","times_submitted","harmless_votes","malicious_votes","positives","submission.submitter_country","additional_info.exiftool.FileType","additional_info.androguard.TargetSdkVersion","scans.Bkav.result","scans.Lionic.result","scans.ClamAV.result","scans.CMC.result","scans.CAT-QuickHeal.result","scans.McAfee.result","scans.ALYac.result","scans.Malwarebytes.result","scans.VIPRE.result","scans.Sangfor.result","scans.K7AntiVirus.result","scans.Alibaba.result","scans.K7GW.result","scans.Trustlook.result","scans.Arcabit.result","scans.Baidu.result","scans.Cyren.result","scans.SymantecMobileInsight.result","scans.Symantec.result","scans.ESET-NOD32.result","scans.TrendMicro-HouseCall.result","scans.Avast.result","scans.Cynet.result","scans.Kaspersky.result","scans.BitDefender.result","scans.NANO-Antivirus.result","scans.SUPERAntiSpyware.result","scans.MicroWorld-eScan.result","scans.Rising.result","scans.Ad-Aware.result","scans.Comodo.result","scans.F-Secure.result","scans.DrWeb.result","scans.Zillya.result","scans.TrendMicro.result","scans.McAfee-GW-Edition.result","scans.FireEye.result","scans.Emsisoft.result","scans.Ikarus.result","scans.Avast-Mobile.result","scans.Jiangmin.result","scans.Avira.result","scans.Antiy-AVL.result","scans.Kingsoft.result","scans.Gridinsoft.result","scans.Microsoft.result","scans.ViRobot.result","scans.ZoneAlarm.result","scans.GData.result","scans.BitDefenderFalx.result","scans.AhnLab-V3.result","scans.BitDefenderTheta.result","scans.TACHYON.result","scans.VBA32.result","scans.Zoner.result","scans.Tencent.result","scans.Yandex.result","scans.MAX.result","scans.MaxSecure.result","scans.Fortinet.result","scans.Panda.result","scans.Sophos.result","scans.Elastic.result","scans.AVG.result","scans.Cylance.result","scans.SentinelOne.result"
"11",2021-11-03 07:53:39,2021-09-13 03:45:21,2021-11-03 07:53:39,62,3035859,2,0,0,24,"IT","ZIP",29,NA,"Trojan.AndroidOS.Bray.C!c",NA,NA,"Android.Agent.GEN45096","Artemis!B0B54FC28AA1",NA,NA,NA,NA,NA,"TrojanBanker:Android/Agent.d52d45eb","Trojan ( 005606f31 )","Android.Malware.Trojan",NA,NA,"AndroidOS/Trojan.RDQD-6","AppRisk:Generisk","Trojan.Gen.2","a variant of Android/TrojanDropper.Agent.DMJ",NA,NA,NA,"HEUR:Trojan-Banker.AndroidOS.Bray.i",NA,"Trojan.Android.Mlw.jabkpa",NA,NA,NA,NA,NA,NA,"Android.Spy.4374",NA,NA,"Artemis!Trojan",NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Agent.FKEC.Gen",NA,NA,NA,"TrojanSpy:AndroidOS/Bray.A!MTB",NA,"HEUR:Trojan-Banker.AndroidOS.Bray.i",NA,"Android.Riskware.Agent.JME","Trojan/Android.FakeCop.1052141",NA,NA,NA,NA,"a.privacy.emial.d",NA,NA,NA,"Android/Agent.DUI!tr",NA,"Android Packed App (PUA)",NA,NA,NA,NA
"12",2021-11-03 00:45:24,2021-11-03 00:45:24,2021-11-03 00:45:24,61,2669106,1,0,0,19,"CA","ZIP",22,NA,NA,NA,NA,"Android.Mobby.GEN20554 (PUP)","Artemis!919A1900C529",NA,NA,NA,NA,NA,NA,"Trojan ( 005537a81 )","Android.Malware.General (score:8)",NA,NA,NA,"Trojan:Malapp",NA,"a variant of Android/AdDisplay.Mobby.I potentially unwanted",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Ewind.kp",NA,NA,NA,NA,NA,NA,NA,NA,"Adware.Mobby.5.origin",NA,NA,"Artemis",NA,NA,"PUA.AndroidOS.Mobby","Android:Evo-gen [Trj]",NA,"ADWARE/ANDR.Agent.FOKP.Gen",NA,NA,NA,"Adware:AndroidOS/Ewind.A",NA,NA,NA,"Android.Riskware.HiddenAds.HA","PUP/Android.Agent.995918",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Ewind.kp","Android/Erwind.A!tr",NA,"Android Ewind (PUA)",NA,NA,NA,NA
"13",2021-11-03 08:44:15,2021-11-03 08:44:15,2021-11-03 08:44:15,63,15202016,1,0,0,17,"KR","ZIP",22,NA,NA,NA,NA,"Android.Fakecalls.GEN45163",NA,NA,NA,NA,NA,NA,NA,"Trojan ( 0055e4881 )","Android.PUA.DebugKey",NA,NA,"AndroidOS/Trojan.WBAO-9",NA,NA,"a variant of Android/TrojanDropper.Agent.IZK",NA,NA,"Malicious (score: 99)","HEUR:Trojan-Banker.AndroidOS.Fakecalls.k",NA,NA,NA,NA,NA,NA,NA,NA,"Android.Spy.914.origin",NA,NA,NA,NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Banker.FKCG.Gen",NA,NA,NA,"TrojanDropper:AndroidOS/BankerAgent.X",NA,"HEUR:Trojan-Banker.AndroidOS.Fakecalls.k",NA,"Android.Riskware.Agent.JMB","PUP/Android.FLPrev.1039239",NA,NA,NA,NA,NA,NA,NA,NA,"Android/Agent.DSI!tr",NA,"Andr/Xgen2-ZA",NA,NA,NA,NA
"14",2021-11-03 07:54:34,2021-11-03 07:54:34,2021-11-03 07:54:34,63,8041344,1,0,0,17,"SG","ZIP",28,NA,NA,NA,NA,"Android.Boogr.GEN34541","Artemis!B3697A6E8FC4",NA,NA,NA,NA,NA,NA,"Trojan ( 005654f01 )",NA,NA,NA,"AndroidOS/Trojan.WPTG-8",NA,NA,"a variant of Android/TrojanDropper.Agent.EVT",NA,NA,"Malicious (score: 99)",NA,NA,"Trojan.Android.ApkProtector.houozg",NA,NA,NA,NA,NA,"Malware.ANDROID/Dropper.FIMO.Gen","Tool.ApkProtector.3.origin","Dropper.Agent.Android.187062",NA,NA,NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Dropper.FIMO.Gen","Trojan/Generic.ASMalwAD.2D",NA,NA,"Trojan:Script/Wacatac.B!ml",NA,NA,NA,NA,"Spyware/Android.Agent.1055400",NA,NA,NA,NA,NA,NA,NA,NA,"Android/Agent.EVT!tr",NA,NA,NA,NA,NA,NA
"15",2021-11-03 09:16:16,2018-07-07 07:04:03,2021-11-03 09:16:16,59,307908,11,0,0,20,"CZ","DEX",NA,NA,"Trojan.AndroidOS.Hqwar.C!c",NA,NA,NA,"Artemis!37F600F5C0FF",NA,NA,NA,NA,NA,NA,"Trojan ( 005393121 )",NA,NA,NA,NA,"AdLibrary:Generisk","Trojan.Gen.MBT","a variant of Android/TrojanDropper.Agent.CGT",NA,NA,"Malicious (score: 99)","HEUR:Trojan-Dropper.AndroidOS.Hqwar.bb",NA,"Trojan.Android.BankBot.ffbptw",NA,NA,NA,NA,NA,NA,"Android.BankBot.1679","Dropper.Hqwar.Android.1778",NA,"Artemis!Trojan",NA,NA,"Trojan.AndroidOS.Banker",NA,NA,"ANDROID/Dropper.FITI.Gen","Trojan/Generic.ASMalwAD.37",NA,NA,"Trojan:Win32/Ymacco.AA1D",NA,NA,NA,NA,"Trojan/Android.Banker.714003",NA,NA,NA,NA,NA,NA,"malware (ai score=99)","Trojan.DangerousObject.Multi.Generic","Android/Agent.CFR!tr",NA,NA,NA,NA,NA,NA
"16",2021-11-03 08:16:40,2021-11-03 08:16:40,2021-11-03 08:16:40,63,20353542,1,0,0,22,"CA","ZIP",26,NA,"Adware.AndroidOS.Ewind.A!c",NA,NA,"Android.Agent.GEN10334 (PUP)","Artemis!05906BBF77A9",NA,NA,NA,NA,NA,NA,"Adware ( 0052c0941 )",NA,NA,NA,"AndroidOS/Trojan.EZHN-6","Other:Android.Reputation.2",NA,"multiple detections",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Ewind.hz",NA,"Riskware.Android.Ewind.izssfn",NA,NA,NA,NA,NA,NA,"Tool.VirtualApk.1.origin",NA,NA,"Artemis",NA,NA,"Trojan.AndroidOS.Loki","Android:Evo-gen [Trj]",NA,"ADWARE/ANDR.Agent.FJUB.Gen","Trojan/Generic.ASMalwAD.148",NA,NA,"Program:AndroidOS/Multiverze",NA,NA,NA,"Android.Riskware.Agent.CUH","PUP/Android.Agent.560036",NA,NA,NA,NA,"a.gray.plugingame",NA,NA,"Android.smsthief.es","Adware/Ewind!Android",NA,NA,NA,NA,NA,NA
"17",2021-11-03 07:54:29,2021-10-18 08:50:50,2021-11-03 07:54:29,62,6122860,2,0,0,18,"IT","ZIP",29,NA,"Trojan.AndroidOS.Bray.C!c",NA,NA,NA,"Artemis!41F9CE42ED53",NA,NA,NA,NA,NA,"TrojanBanker:Android/Agent.f15b63e6","Trojan ( 00579dc81 )","Android.Malware.Trojan",NA,NA,NA,"AppRisk:Generisk","Trojan.Gen.MBT","a variant of Android/TrojanDropper.Agent.IYT",NA,NA,NA,"HEUR:Trojan-Banker.AndroidOS.Bray.pac",NA,NA,NA,NA,NA,NA,NA,NA,"Android.Spy.4405",NA,NA,"Artemis!Trojan",NA,NA,"Trojan-Dropper.AndroidOS.Agent",NA,NA,"ANDROID/Dropper.FJKV.Gen",NA,NA,NA,"TrojanSpy:AndroidOS/Bray.A!MTB",NA,NA,NA,"Android.Trojan.InfoStealer.XY",NA,NA,NA,NA,NA,"a.privacy.emial.d",NA,NA,NA,"Android/Agent.IYT!tr",NA,"Andr/Xgen2-ZB",NA,NA,NA,NA
"18",2021-11-03 00:00:26,2021-11-03 00:00:26,2021-11-03 00:00:26,58,4804233,1,0,0,27,"CA","ZIP",21,NA,"Riskware.AndroidOS.SMSreg.z!c",NA,NA,"Android.SMSReg.A (PUP)","Artemis!5D12844F3C59",NA,NA,NA,"Malware.Android-Script.Save.9f14b72c",NA,NA,"Trojan ( 004ddbbd1 )","Android.PUA.DebugKey",NA,NA,"AndroidOS/SMSreg.AE.gen!Eldorado","AdLibrary:Generisk","Trojan.Gen.MBT","Android/SMSreg.UA potentially unsafe",NA,"Android:Agent-MFE [PUP]","Malicious (score: 99)",NA,NA,"Riskware.Android.SmsSend.gczwrm",NA,NA,NA,NA,NA,NA,"Android.SmsSend.15340","Downloader.OpenConnection.JS.131615",NA,"ANDROID/Smsreg.a",NA,NA,"Trojan.AndroidOS.SMSReg","Android:Evo-gen [Trj]",NA,"ANDROID/SmsReg.YBD.Gen","Trojan/Generic.ASMalwAD.18","Android.RISKWARE.pornapp.a.(kcloud)",NA,"Ransom:Win32/Eris",NA,NA,NA,"Android.Riskware.SMSReg.QE","PUP/Android.SmsPay.63460",NA,NA,NA,NA,NA,NA,NA,NA,"Riskware/Generic.Z.9DAC0B!Android",NA,"Android Riskware SmsReg (PUA)",NA,"Android:Agent-MFE [PUP]",NA,NA
"19",2021-11-03 00:37:21,2021-11-03 00:37:21,2021-11-03 00:37:21,60,1955983,1,0,0,19,"US","ZIP",22,NA,"Adware.AndroidOS.Adlo.A!c",NA,NA,"Android.Adlo.Af3c (AdWare)","Artemis!0C5C3D793761",NA,NA,NA,NA,NA,NA,"Trojan ( 0057e8751 )",NA,NA,NA,NA,NA,NA,"a variant of Android/TrojanDropper.Agent.HVN",NA,NA,"Malicious (score: 99)","not-a-virus:HEUR:AdWare.AndroidOS.Adlo.b",NA,NA,NA,NA,NA,NA,NA,NA,"Android.HiddenAds.2857",NA,NA,"Artemis!PUP",NA,NA,"Trojan-Dropper.AndroidOS.Agent","Android:Evo-gen [Trj]",NA,"ANDROID/Agent.MER.Gen","Trojan/Generic.ASMalwAD.2D",NA,NA,"Trojan:Script/Sabsik.FL.B!ml",NA,NA,NA,"Android.Trojan.Downloader.DN","PUP/Android.Hidad.1030260",NA,NA,NA,NA,NA,NA,NA,"Android.WIN32.Adlo.a","Android/Agent.HVN!tr",NA,"Andr/Xgen2-YR",NA,NA,NA,NA
"20",2021-11-03 09:00:20,2019-10-01 03:13:27,2021-11-03 09:00:20,56,48204,2,0,0,20,"CZ","DEX",NA,NA,"Trojan.AndroidOS.SmForw.C!c",NA,NA,NA,"Artemis!4EF2BDF37187",NA,NA,NA,NA,NA,NA,"Trojan ( 0054c3a11 )",NA,NA,NA,"AndroidOS/Trojan.GFJH-5","AppRisk:Generisk","Trojan.Gen.MBT","a variant of Android/SMForw.K",NA,"Android:SMForw-BR [Trj]","Malicious (score: 99)",NA,NA,"Trojan.Android.SmsSpy.dqzmgp",NA,NA,NA,NA,NA,NA,"Android.SmsSpy.814.origin",NA,NA,"Artemis",NA,NA,"Trojan.AndroidOS.SMForw","Android:SMForw-BR [Trj]",NA,"ANDROID/SmsForward.M.Gen","Trojan/Generic.ASMalwAD.A",NA,NA,NA,NA,NA,NA,NA,"Trojan/Android.SMSstealer.50471",NA,NA,NA,NA,"Dos.Trojan-spy.Smforw.Piuc",NA,NA,NA,"Android/SmForw.K!tr",NA,NA,NA,"Android:SMForw-BR [Trj]",NA,NA
"21",2021-11-03 07:50:10,2016-12-03 11:18:21,2021-11-03 07:50:10,53,366676,2,0,0,21,"CZ","DEX",NA,NA,"Trojan.AndroidOS.Generic.C!c",NA,NA,NA,"Artemis!6B3516C2E2A1",NA,NA,"Trojan.AndroidOS.FakeInst.c (v)",NA,NA,NA,"Trojan ( 004c0dc71 )",NA,NA,NA,"AndroidOS/FakeInst.BG.gen!Eldorado","AppRisk:Generisk","Trojan.Gen","a variant of Android/TrojanSMS.Agent.ACG",NA,NA,"Malicious (score: 99)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Android.SmsSend.914.origin",NA,NA,"Artemis!Trojan",NA,NA,"Trojan-SMS.AndroidOS.FakeInst","Android:TrojanSMS-AZ [Trj]",NA,"ANDROID/SmsAgent.DX.Gen","Trojan/Generic.ASMalwAD.5E2",NA,NA,NA,NA,NA,"Android.Trojan-SMS.FakeInst.B",NA,"Trojan/Android.FakeInst.26783",NA,NA,NA,NA,"Trojan.Android.fakeins.ab",NA,NA,"Virus.AdWare.AndroidOS.Drosel.n","Android/Agent.ACG!tr",NA,"Andr/FakeIns-CE",NA,NA,NA,NA
